2025-11-26 10:53:58 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:53:58 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 10:54:01 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:54:01 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 10:54:04 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:54:04 | [SUCCESS] | 通信 | [VDC-32] 连接已手动断开
2025-11-26 10:54:04 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 10:54:22 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:54:43 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 10:54:43 | [SUCCESS] | 通信 | [VDC-32] TCP连接成功: 192.168.1.181:10040
2025-11-26 10:54:43 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 10:54:43 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 10:54:46 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:54:46 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 10:54:49 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:54:49 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 10:54:52 | [FAILED] | 通信 | [VDC-32] 错误: 等待响应超时
2025-11-26 10:54:52 | [SUCCESS] | 通信 | [VDC-32] 连接已手动断开
2025-11-26 10:54:52 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 10:55:03 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:04 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:05 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:05 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:06 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:06 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:06 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:06 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:07 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:07 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:07 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:09 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:11 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:11 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:11 | [SUCCESS] | 连接 | 正在连接设备 (LOG)...
2025-11-26 10:55:18 | [SUCCESS] | 连接 | 正在连接设备 (LOAD)...
2025-11-26 10:55:18 | [SUCCESS] | 通信 | [GJDD-750] 开始连接TCP: 192.168.1.181:10040
2025-11-26 10:55:18 | [SUCCESS] | 通信 | [GJDD-750] TCP连接成功
2025-11-26 10:55:18 | [SUCCESS] | 连接 | 负载设备连接成功
2025-11-26 10:55:19 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
